Processos no Gesat mas Não lançado na Planilha;;;;;;;;;;;;;;;;;;;;;
GSAT;Cliente;processo;Cliente;;;;;;;;;;;;;;;;;;
230999;199;23/0999;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
231008;396;23/1008;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231014;396;23/1014;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231015;61;23/1015;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231016;396;23/1016;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231017;61;23/1017;CS3 COMPANY;;;;;;;;;;;;;;;;;;
231019;61;23/1019;CS3 COMPANY;;;;;;;;;;;;;;;;;;
231020;396;23/1020;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231021;396;23/1021;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231034;1452;23/1034;MR TRADING LTDA;;;;;;;;;;;;;;;;;;
231034A;1452;23/1034A;MR TRADING LTDA;;;;;;;;;;;;;;;;;;
231060;396;23/1060;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231061;1452;23/1061;MR TRADING LTDA;;;;;;;;;;;;;;;;;;
231062;396;23/1062;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
231076;61;23/1076;CS3 COMPANY;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
